"Incident ID","Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
1850685,"November 11, 2020","North Carolina",Candor,N/A,1,0,N/A
1849742,"November 9, 2020",Colorado,"Grand (county)",N/A,1,0,N/A
1848173,"November 9, 2020",Missouri,"Blue Springs","814 N Hwy 7",1,0,N/A
1846835,"November 8, 2020",California,Pasadena,"1750 N Altadena Dr",1,0,N/A
1846012,"November 7, 2020","New York",Penfield,"1570 Penfield Rd",1,0,N/A
1846163,"November 6, 2020",Utah,Midvale,"7020 S 700 W",1,1,N/A
1845659,"November 6, 2020","South Carolina","Columbia (Fort Jackson)",N/A,1,0,N/A
1845637,"November 6, 2020",Georgia,Atlanta,"2485 Gresham Rd",1,0,N/A
1846147,"November 6, 2020",Kansas,Ashland,"300 block of Highland Ave",1,0,N/A
1844038,"November 4, 2020",Florida,"Port Salerno","SE Bollard Ave",1,0,N/A
1844709,"November 4, 2020",Oklahoma,Tulsa,"700 block of N Sheridan Rd",1,0,N/A
1844027,"November 4, 2020",Florida,"Fort Lauderdale (Dania Beach)","3325 Griffin Rd",1,0,N/A
1842790,"November 3, 2020",Virginia,Petersburg,"3700 block of Totty St",1,0,N/A
1842777,"November 3, 2020",Michigan,Jackson,"1300 block of E North St",1,0,N/A
1842070,"November 2, 2020","New York","New York (Manhattan)","2937 Frederick Douglas Blvd",1,0,N/A
1842725,"November 2, 2020",Florida,"Palm Beach Gardens","4500 Block of Artesa Way S",1,0,N/A
1838373,"October 30, 2020","North Carolina",Concord,"1080 Ramsgate Dr SW",1,0,N/A
1839242,"October 30, 2020",Michigan,Detroit,"15800 block of Kentucky Ave",1,0,N/A
1838884,"October 29, 2020",Florida,"Palm Beach Gardens (Riviera Beach)","3700 N Ocean Dr",1,0,N/A
1837582,"October 28, 2020",Kansas,"Kansas City","1700 block of Short Ave",1,0,N/A
1840610,"October 25, 2020",Texas,"Fort Worth","8000 block of N Beach St",1,0,N/A
1835068,"October 25, 2020",Nebraska,Raymond,"NW 98th St and W Davey Rd",1,0,N/A
1834122,"October 25, 2020",Kentucky,Louisville,"2000 block of W Main St",1,0,N/A
1835483,"October 25, 2020",Texas,"Fort Worth","Western Center Blvd",1,0,N/A
1834097,"October 24, 2020",Texas,Porter,"23000 block of Owens Rd",1,0,N/A
1834445,"October 24, 2020",Kentucky,Owensboro,"2200 block of E 19th St",1,0,N/A
1833659,"October 24, 2020",Nevada,"North Las Vegas","3300 block of Park Town St",1,0,N/A
1833668,"October 24, 2020","New York",Brooklyn,"51 Eldert St",1,0,N/A
1833374,"October 23, 2020",Texas,Dallas,"3015 E Ledbetter Dr",1,1,N/A
1832062,"October 22, 2020",Indiana,"East Chicago","4522 Magoun Ave",1,0,N/A
1831662,"October 22, 2020",California,Merced,"26th St and Hawthorne Ave",1,0,N/A
1841970,"October 22, 2020",Florida,Hialeah,N/A,1,0,N/A
1830752,"October 21, 2020",Kentucky,Lexington,"509 W Fifth St",1,0,N/A
1829032,"October 19, 2020",Pennsylvania,Chester,"9th St and Central Ave",1,0,N/A
1828109,"October 19, 2020",Georgia,Atlanta,"12 Atlanta Ave SW",1,0,N/A
1828457,"October 18, 2020",Kentucky,Hopkinsville,"McKinney Road",1,0,N/A
