"Incident ID","Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
1850656,"November 12, 2020",Michigan,Kalamazoo,"Washington Ave",0,1,N/A
1849767,"November 11, 2020",Missouri,"Saint Louis","4100 block of E Kossuth Ave",0,1,N/A
1850288,"November 11, 2020",Missouri,"Saint Louis","Lalite Ave and Mimika Ave",0,1,N/A
1849624,"November 11, 2020",Texas,Dallas,"I-35 and Clarendon Dr",1,1,N/A
1849788,"November 11, 2020","New York",Bronx,"1704 Seward Ave",0,1,N/A
1849236,"November 10, 2020",Illinois,Chicago,"4600 block of S California Ave",0,1,N/A
1850805,"November 10, 2020",Washington,Lakewood,"2250 Sidney Ave",0,1,N/A
1847683,"November 9, 2020",Kentucky,Louisville,"3400 block of W Muhammad Ali Blvd",0,1,N/A
1848168,"November 9, 2020",Florida,"West Palm Beach","1601 Belvedere Rd",0,1,N/A
1847065,"November 9, 2020",Indiana,Indianapolis,"1200 block of Racquet Club N Dr",0,1,N/A
1847596,"November 9, 2020","District of Columbia",Washington,"800 block of Farragut St NW",0,1,N/A
1848216,"November 9, 2020",Michigan,Detroit,"4200 block of Tyler Ave",0,1,N/A
1847020,"November 9, 2020","North Carolina",Charlotte,"E Woodlawn Rd and South Blvd",0,1,N/A
1846855,"November 8, 2020",Minnesota,Minneapolis,"W 24th St and Bryant Ave S",0,1,N/A
1847507,"November 8, 2020","West Virginia",Barboursville,"6700 block of Mud River Rd",0,2,N/A
1847067,"November 8, 2020",Georgia,Atlanta,"2997 Campbellton Rd",1,1,N/A
1847033,"November 8, 2020",Illinois,Chicago,"3700 block of W Chicago Ave",0,1,N/A
1847432,"November 7, 2020",Nebraska,Omaha,"N 90th St and Maple St",0,1,N/A
1846066,"November 7, 2020","New York",Brooklyn,"E 95th St and Ave L",0,2,N/A
1846891,"November 7, 2020",Mississippi,"Mount Olive","Rock Hill Rd",0,1,N/A
1845181,"November 6, 2020","South Carolina",Timmonsville,"E Main St",0,1,N/A
1850403,"November 6, 2020",Washington,Edmonds,N/A,0,1,N/A
1845679,"November 6, 2020",Iowa,"Cedar Rapids","4444 1st Ave NE",0,1,N/A
1845377,"November 6, 2020",Texas,Houston,"12330 Gulf Fwy",1,1,N/A
1844632,"November 5, 2020",Pennsylvania,Uniontown,"34 Millview St",0,1,N/A
1844351,"November 5, 2020",Kentucky,Herndon,"2500 block of Binns Mill Rd",0,1,N/A
1844808,"November 5, 2020",Indiana,Indianapolis,"4800 block of Oakwood Trail",0,1,N/A
1844644,"November 5, 2020",Montana,Billings,"105 Broadwater Ave",0,1,N/A
1844536,"November 5, 2020","North Carolina",Durham,"Fayetteville St and Cornwallis Rd",0,1,N/A
1844534,"November 5, 2020",Alabama,Birmingham,"800 block of 44th Pl S",0,1,N/A
1847900,"November 5, 2020",Virginia,Bristow,"12500 block of Chippenham Ct",0,1,N/A
1844490,"November 5, 2020",Louisiana,"Baton Rouge","7800 block of Nottingham St",0,1,N/A
1844608,"November 5, 2020",Ohio,Toledo,"1000 block of Harding Dr",0,1,N/A
1842978,"November 4, 2020",Indiana,Losantville,"6400 block of US-36",0,1,N/A
1843377,"November 4, 2020",Louisiana,"Baton Rouge","5600 block of Kilona Dr",0,1,N/A
1843516,"November 4, 2020",Illinois,Chicago,"1700 block of N Monitor Ave",0,1,N/A
1844689,"November 4, 2020",Iowa,Dyersville,"4th Avenue NE",0,1,N/A
